"name" "account_id" "city" "mailPromo"
"xw" 1299621 "Gotham City" 0
"yh" 4355311 "Gotham City" 1
"dv" 386427 "Winterfell" 1
"uv" 7133016 "Metropolis" 1
"zv" 1007690 "Zion" 1
"yg" 9503049 "Winterfell" 1
"go" 1218178 "Zion" 0
"mv" 2196566 "Winterfell" 0
"ir" 9130878 "Zion" 0
"zj" 9458531 "Winterfell" 0
"dc" 2791562 "Bedrock" 0
"kn" 1234711 "Winterfell" 0
"xp" 7971605 "Gotham City" 0
"my" 7442772 "Bedrock" 1
"xj" 9159742 "Metropolis" 1
"pi" 9945982 "Zion" 0
"qu" 9423607 "Metropolis" 0
"wy" 4861354 "Zion" 0
"ng" 2834595 "Metropolis" 0
"ia" 2515457 "Bedrock" 0
"mr" 5032552 "Gotham City" 0
"jm" 4969662 "Gotham City" 0
"te" 3184458 "Bedrock" 1
"oh" 9622228 "Zion" 0
"zq" 6340994 "Bedrock" 0
"ow" 1274334 "Winterfell" 1
"fr" 4230470 "Bedrock" 0
"cs" 9143169 "Bedrock" 0
"wp" 4677923 "Zion" 0
"gx" 9081691 "Metropolis" 0
"za" 5977433 "Winterfell" 1
"py" 6317428 "Zion" 0
"zw" 8691583 "Gotham City" 0
"ol" 5027498 "Gotham City" 1
"lg" 9836351 "Metropolis" 0
"fo" 3243860 "Bedrock" 0
"cg" 4813749 "Bedrock" 0
"qr" 3569871 "Zion" 0
"bf" 6274777 "Gotham City" 0
"iy" 7416002 "Gotham City" 1
"th" 5659668 "Gotham City" 1
"pc" 9807865 "Gotham City" 0
"st" 5768127 "Winterfell" 0
"li" 4390421 "Zion" 0
"ih" 2285997 "Gotham City" 1
"tp" 821581 "Gotham City" 1
"lp" 8502649 "Bedrock" 0
"od" 2346613 "Gotham City" 0
"hs" 9881674 "Metropolis" 1
"id" 6018975 "Metropolis" 0
"by" 9987408 "Metropolis" 0
"yv" 3755994 "Gotham City" 0
"al" 5551266 "Winterfell" 0
"vb" 4294440 "Winterfell" 0
"qj" 5758778 "Gotham City" 0
"tv" 4325074 "Bedrock" 0
"qt" 2248458 "Winterfell" 0
"zo" 849847 "Zion" 0
"du" 6372983 "Bedrock" 0
"wg" 4310164 "Winterfell" 0
"vi" 727161 "Zion" 0
"va" 8024020 "Bedrock" 0
"vg" 3252783 "Metropolis" 0
"zl" 7572890 "Bedrock" 0
"qw" 5842715 "Metropolis" 0
"rz" 7088394 "Winterfell" 0
"nt" 4269758 "Winterfell" 1
"tu" 3435727 "Bedrock" 1
"nd" 7591200 "Metropolis" 0
"tc" 4240302 "Metropolis" 0
"hb" 5608873 "Zion" 0
"kb" 1161358 "Bedrock" 1
"zr" 3030218 "Winterfell" 0
"or" 4788027 "Zion" 0
"ho" 3448305 "Zion" 0
"eb" 6007141 "Winterfell" 0
"tr" 760833 "Metropolis" 0
"og" 9559926 "Zion" 0
"qf" 222068 "Bedrock" 0
"si" 8417106 "Zion" 1
"md" 6324424 "Bedrock" 0
"ww" 3100942 "Gotham City" 1
"kq" 7425694 "Metropolis" 0
"ai" 6389113 "Gotham City" 0
"gp" 9925160 "Metropolis" 0
"mq" 1282698 "Gotham City" 0
"um" 8832396 "Bedrock" 0
"mk" 8100834 "Metropolis" 1
"uc" 8218512 "Metropolis" 0
"ch" 8347027 "Metropolis" 0
"uz" 7327322 "Gotham City" 0
"fv" 9830440 "Winterfell" 0
"hi" 6392046 "Zion" 0
"mu" 6607546 "Zion" 0
"uk" 5283594 "Zion" 0
"oc" 3174938 "Bedrock" 0
"zh" 7678555 "Bedrock" 0
"pm" 5263085 "Winterfell" 0
"gz" 7323019 "Gotham City" 0
"br" 3076657 "Bedrock" 0
"oe" 4041733 "Bedrock" 0
"gg" 2044024 "Bedrock" 1
"ah" 9856331 "Metropolis" 0
"pt" 5663108 "Zion" 0
"nk" 2803751 "Zion" 0
"ab" 1850557 "Zion" 0
"pf" 7580614 "Zion" 0
"ar" 5667813 "Metropolis" 0
"ji" 9321736 "Winterfell" 0
"ts" 6386933 "Winterfell" 0
"jn" 7007481 "Gotham City" 0
"nf" 4792225 "Gotham City" 0
"vk" 8503119 "Gotham City" 0
"om" 4223307 "Winterfell" 0
"ii" 313921 "Winterfell" 0
"ju" 2581466 "Metropolis" 0
"ld" 3348447 "Metropolis" 0
"xc" 1335497 "Winterfell" 0
"ha" 4995464 "Bedrock" 0
"la" 8021356 "Metropolis" 0
"sx" 3371532 "Bedrock" 0
"vm" 5089206 "Metropolis" 0
"rp" 4944386 "Zion" 1
"ku" 7970529 "Gotham City" 0
"yy" 5669589 "Gotham City" 0
"gf" 1066968 "Winterfell" 0
"pz" 8076484 "Gotham City" 1
"ty" 5671121 "Gotham City" 0
"dd" 2122409 "Bedrock" 0
"ql" 7495793 "Zion" 0
"ik" 3072184 "Gotham City" 0
"jb" 4895184 "Zion" 0
"zn" 9897099 "Zion" 0
"on" 4241092 "Bedrock" 1
"lt" 2444030 "Metropolis" 0
"yo" 2171347 "Metropolis" 0
"lu" 6891175 "Winterfell" 0
"ef" 9802127 "Bedrock" 0
"zz" 4770330 "Bedrock" 0
"oa" 7735236 "Gotham City" 0
"ry" 5743129 "Gotham City" 1
"kc" 9659397 "Bedrock" 0
"fw" 7969238 "Gotham City" 0
"ev" 5319051 "Winterfell" 0
"kg" 5966238 "Bedrock" 0
"vw" 2638865 "Zion" 0
"wv" 2795427 "Zion" 0
"ko" 651032 "Zion" 1
"jp" 5630813 "Metropolis" 0
"ln" 2623557 "Zion" 0
"eo" 32823 "Winterfell" 0
"ri" 5895165 "Zion" 0
"fs" 5200512 "Bedrock" 0
"mt" 8446347 "Zion" 0
"ky" 295568 "Bedrock" 0
"yc" 5997693 "Gotham City" 0
"ke" 2684198 "Bedrock" 0
"ya" 1206089 "Metropolis" 0
"zk" 1007055 "Bedrock" 0
"av" 7481611 "Metropolis" 0
"ra" 159606 "Winterfell" 0
"xg" 494611 "Winterfell" 0
"fg" 7476238 "Bedrock" 0
"dn" 3572377 "Gotham City" 0
"sw" 7589582 "Zion" 1
"zx" 3759563 "Bedrock" 0
"ym" 7994627 "Gotham City" 0
"pw" 256928 "Winterfell" 0
"ta" 5063586 "Metropolis" 0
"mj" 8212286 "Gotham City" 1
"to" 5447566 "Metropolis" 0
"aw" 2666845 "Metropolis" 0
"ly" 3446373 "Zion" 1
"io" 3691760 "Metropolis" 0
"vn" 4292521 "Bedrock" 0
"gt" 9185144 "Zion" 0
"vz" 7843448 "Winterfell" 1
"sp" 7378315 "Gotham City" 0
"zm" 2807726 "Bedrock" 0
"we" 4568266 "Metropolis" 0
"kh" 2875376 "Winterfell" 1
"cn" 6962911 "Zion" 0
"ki" 8207563 "Zion" 0
"rc" 6551535 "Winterfell" 1
"hq" 4135047 "Gotham City" 0
"ff" 9518294 "Bedrock" 0
"aq" 2431095 "Gotham City" 1
"cr" 6086850 "Metropolis" 0
"fj" 7579515 "Winterfell" 1
"cy" 6936674 "Zion" 1
"rl" 1154278 "Winterfell" 0
"fd" 6359117 "Gotham City" 1
"yf" 3090254 "Winterfell" 0
"rg" 3529985 "Winterfell" 0
"tz" 9809583 "Gotham City" 0
"qn" 5388828 "Metropolis" 0
"em" 4440339 "Bedrock" 0
"nu" 9493668 "Winterfell" 0
"ay" 4524834 "Metropolis" 1
"jr" 1906258 "Zion" 0
"rw" 9916091 "Winterfell" 1
"kl" 5484554 "Metropolis" 0
"uu" 7688158 "Gotham City" 0
"vl" 9134217 "Zion" 0
"zf" 6821120 "Metropolis" 0
"wc" 4072514 "Zion" 0
"kj" 4075923 "Zion" 0
"nm" 1460828 "Bedrock" 0
"ug" 1966677 "Winterfell" 0
"dh" 1922093 "Metropolis" 0
"kf" 4084144 "Zion" 0
"rt" 3482213 "Winterfell" 1
"xm" 8345428 "Zion" 0
"ct" 1984000 "Winterfell" 1
"lz" 8618053 "Gotham City" 0
"hy" 3971853 "Metropolis" 0
"ul" 1532538 "Zion" 0
"lh" 3392834 "Metropolis" 0
"ru" 3671804 "Bedrock" 0
"jo" 4273791 "Zion" 0
"pr" 1863369 "Gotham City" 0
"vc" 6580166 "Winterfell" 0
"tx" 9204114 "Gotham City" 0
"zi" 7338941 "Bedrock" 0
"wt" 8823193 "Zion" 0
"qb" 9533465 "Metropolis" 0
"pa" 1949015 "Metropolis" 0
"ak" 4726167 "Bedrock" 0
"td" 3860507 "Metropolis" 0
"ph" 3741659 "Zion" 0
"ok" 278557 "Winterfell" 0
"bd" 9293552 "Winterfell" 0
"jc" 4105293 "Gotham City" 0
"qg" 9558402 "Winterfell" 0
"ds" 2721528 "Winterfell" 0
"ob" 5172465 "Bedrock" 0
"rk" 9783098 "Metropolis" 0
"jf" 3696965 "Zion" 1
"bh" 3104304 "Bedrock" 0
"tm" 342096 "Gotham City" 0
"eg" 6675658 "Metropolis" 0
"pq" 9209164 "Bedrock" 0
"xd" 449896 "Gotham City" 0
"ix" 2011326 "Metropolis" 0
"cz" 7435149 "Winterfell" 0
"pg" 1305568 "Gotham City" 0
"rs" 7088836 "Gotham City" 0
"vh" 9988318 "Zion" 1
"ut" 9439130 "Winterfell" 0
"jl" 5929039 "Zion" 0
"yz" 7312956 "Metropolis" 0
"pn" 4867342 "Winterfell" 0
"ui" 7681520 "Gotham City" 0
"cm" 31455 "Winterfell" 0
"rv" 5579413 "Bedrock" 0
"ij" 4602553 "Metropolis" 0
"gh" 3297151 "Gotham City" 0
"je" 8354756 "Metropolis" 0
"oz" 9777017 "Gotham City" 0
"bo" 6605149 "Bedrock" 0
"gr" 2335749 "Winterfell" 0
"gd" 8192004 "Metropolis" 0
"qv" 7246849 "Bedrock" 0
"ub" 9763572 "Bedrock" 0
"zd" 2651130 "Zion" 0
"qx" 8788200 "Gotham City" 0
"nw" 4878892 "Winterfell" 0
"jd" 3054683 "Zion" 0
"zy" 3950970 "Metropolis" 0
"tk" 7593397 "Gotham City" 0
"gu" 1008016 "Gotham City" 0
"uw" 4213597 "Bedrock" 0
"et" 6577642 "Zion" 0
"vp" 2952641 "Bedrock" 0
"zp" 2059865 "Metropolis" 1
"wd" 21467 "Bedrock" 0
"pp" 1078427 "Winterfell" 0
"fh" 2148670 "Bedrock" 0
"uj" 1151537 "Bedrock" 0
"rj" 6871594 "Winterfell" 1
"bv" 1932722 "Zion" 0
"vs" 9849219 "Gotham City" 0
"vf" 9470380 "Metropolis" 0
"ae" 6917070 "Metropolis" 0
"sd" 7398919 "Zion" 0
"hz" 7324403 "Winterfell" 0
"en" 6525984 "Zion" 1
"nv" 1670463 "Zion" 0
"kk" 9231809 "Zion" 0
"ux" 5646048 "Gotham City" 0
"yu" 5364956 "Gotham City" 0
"rm" 188437 "Winterfell" 0
"ba" 3663996 "Zion" 0
"yt" 6862423 "Gotham City" 0
"pb" 4166287 "Gotham City" 0
"hj" 7570262 "Winterfell" 1
"gs" 7757949 "Bedrock" 0
"iz" 5735870 "Winterfell" 1
"oj" 1886988 "Metropolis" 0
"ew" 7582653 "Metropolis" 0
"bg" 926831 "Gotham City" 1
"xy" 6223585 "Gotham City" 0
"nx" 4159132 "Gotham City" 0
"rf" 7765109 "Bedrock" 0
"wo" 8078028 "Zion" 0
"ec" 9672963 "Gotham City" 0
"wz" 2159033 "Winterfell" 0
"aa" 8670089 "Zion" 1
"gj" 4169180 "Zion" 0
"yx" 5130287 "Zion" 1
"pv" 7749373 "Gotham City" 0
"yj" 1325433 "Bedrock" 1
"ve" 4119076 "Zion" 0
"bn" 6620476 "Winterfell" 0
"hk" 9077198 "Metropolis" 0
"sf" 3444916 "Winterfell" 0
"mi" 1052431 "Bedrock" 0
"sv" 9323459 "Zion" 1
"gm" 1999333 "Bedrock" 0
"ye" 540183 "Zion" 0
"vd" 4258401 "Zion" 1
"fu" 3387958 "Zion" 0
"yq" 2756013 "Gotham City" 0
"mp" 6634905 "Gotham City" 1
"hp" 7838961 "Bedrock" 0
"vt" 4396974 "Bedrock" 0
"iv" 9303239 "Bedrock" 0
"ag" 2722072 "Winterfell" 0
"mb" 6590290 "Gotham City" 0
"au" 3802893 "Gotham City" 0
"cj" 9353908 "Metropolis" 0
"iw" 7355009 "Zion" 1
"hd" 5900905 "Metropolis" 0
"me" 8146524 "Metropolis" 0
"fq" 8824088 "Gotham City" 0
"dj" 7454413 "Winterfell" 0
"kd" 5017916 "Zion" 0
"qd" 9885015 "Gotham City" 1
"sl" 5552681 "Winterfell" 0
"zg" 8797018 "Zion" 0
"di" 6304393 "Metropolis" 0
"el" 6132155 "Gotham City" 0
"eq" 336093 "Bedrock" 0
"cx" 2547007 "Bedrock" 0
"ca" 7759688 "Zion" 0
"up" 9982450 "Winterfell" 0
"zs" 9601184 "Gotham City" 0
"ej" 7509288 "Metropolis" 0
"px" 6805039 "Winterfell" 0
"xe" 2468865 "Zion" 0
"xi" 6065630 "Zion" 1
"js" 5739706 "Winterfell" 1
"qo" 495949 "Gotham City" 0
"xa" 3728201 "Metropolis" 0
"wi" 8947680 "Gotham City" 0
"ft" 3917717 "Zion" 0
"jx" 5169453 "Metropolis" 0
"yn" 1752801 "Bedrock" 0
"bl" 1926055 "Winterfell" 1
"ad" 5465087 "Zion" 0
"uq" 3931208 "Metropolis" 1
"rq" 6251975 "Winterfell" 0
"nh" 5722048 "Bedrock" 0
"ee" 1406191 "Gotham City" 0
"wq" 2892717 "Gotham City" 0
"ny" 6122 "Zion" 0
"ox" 9553637 "Winterfell" 1
"rx" 3994100 "Gotham City" 0
"fl" 9770535 "Zion" 0
"rb" 5117742 "Winterfell" 0
"dx" 4671612 "Zion" 0
"uo" 7238355 "Zion" 0
"lj" 1420736 "Gotham City" 0
"cl" 5235778 "Gotham City" 1
"kp" 5604211 "Zion" 1
"ka" 6603428 "Zion" 0
"co" 3722657 "Zion" 0
"po" 1361520 "Zion" 0
"lf" 738809 "Metropolis" 0
"xf" 7615122 "Winterfell" 0
"tg" 7027949 "Zion" 0
"os" 7638953 "Winterfell" 0
"un" 1570563 "Metropolis" 0
"cw" 5993446 "Bedrock" 0
"kr" 7633418 "Bedrock" 0
"an" 9126530 "Winterfell" 0
"xt" 3080208 "Bedrock" 0
"zu" 6570659 "Gotham City" 0
"hc" 3378046 "Zion" 0
"tn" 6042504 "Zion" 0
"ci" 839550 "Gotham City" 0
"re" 6056672 "Metropolis" 0
"be" 5959110 "Metropolis" 0
"qm" 6689191 "Bedrock" 0
"xn" 8010433 "Zion" 0
"us" 8554559 "Gotham City" 0
"hg" 501399 "Gotham City" 0
"cf" 6744341 "Bedrock" 0
"le" 8458933 "Gotham City" 0
"zt" 7463983 "Winterfell" 0
"fa" 8295644 "Metropolis" 1
"fi" 1279001 "Winterfell" 0
"pd" 7941084 "Gotham City" 1
"at" 3555059 "Metropolis" 1
"pe" 9480817 "Winterfell" 1
"eu" 9301581 "Bedrock" 0
"tw" 5924445 "Bedrock" 0
"nj" 1104943 "Gotham City" 0
"dr" 7838355 "Winterfell" 0
"mf" 6018229 "Gotham City" 0
"jv" 882744 "Bedrock" 0
"so" 6572623 "Winterfell" 0
"he" 3320809 "Gotham City" 0
"wa" 8354190 "Zion" 0
"mc" 2477733 "Bedrock" 0
"bm" 3635909 "Zion" 1
"bj" 9246486 "Gotham City" 0
"sk" 5630180 "Winterfell" 1
"ga" 8068654 "Gotham City" 0
"yd" 389287 "Winterfell" 0
"ey" 398254 "Gotham City" 0
"sr" 6325430 "Zion" 1
"aj" 2390868 "Metropolis" 0
"jj" 2525250 "Winterfell" 0
"ll" 6246245 "Metropolis" 0
"cb" 4056898 "Bedrock" 0
"kt" 7984731 "Winterfell" 0
"jq" 1174629 "Bedrock" 0
"jy" 9944973 "Zion" 0
"xb" 6498573 "Metropolis" 0
"lk" 6556109 "Gotham City" 0
"sm" 7474796 "Metropolis" 0
"ne" 5142732 "Metropolis" 0
"wn" 3803301 "Zion" 0
"mh" 6113083 "Winterfell" 1
"uf" 9660003 "Metropolis" 0
"rn" 2158587 "Zion" 0
"ep" 7487494 "Gotham City" 0
"ea" 4323756 "Metropolis" 0
"in" 8285962 "Bedrock" 0
"xk" 8833405 "Bedrock" 1
"mm" 9797886 "Winterfell" 0
"az" 9140007 "Bedrock" 0
"sy" 2574866 "Bedrock" 0
"lw" 2234478 "Gotham City" 0
"jz" 7906329 "Zion" 0
"gl" 1650948 "Metropolis" 0
"ip" 8380759 "Gotham City" 0
"ss" 9719204 "Zion" 1
"lo" 4975382 "Metropolis" 0
"pk" 398080 "Metropolis" 1
"am" 6251566 "Bedrock" 0
"wl" 8303859 "Metropolis" 0
"qe" 1558116 "Gotham City" 0
"wk" 9902038 "Bedrock" 0
"hh" 6808823 "Gotham City" 0
"pl" 8646979 "Zion" 0
"jk" 2416608 "Metropolis" 0
"fn" 8625791 "Zion" 0
"sj" 7920867 "Winterfell" 0
"fm" 6123248 "Winterfell" 0
"ou" 2085592 "Zion" 1
"yk" 594121 "Zion" 1
"vx" 6252874 "Bedrock" 0
"lq" 8039314 "Gotham City" 0
"vy" 1986306 "Winterfell" 0
"yb" 6656501 "Winterfell" 0
"nl" 4029328 "Metropolis" 0
"ms" 3869627 "Gotham City" 0
"xu" 602284 "Zion" 1
"dm" 4202804 "Metropolis" 1
"xo" 5510973 "Gotham City" 0
"kv" 8160757 "Bedrock" 0
"lb" 8377968 "Metropolis" 0
"gk" 120981 "Bedrock" 0
"tq" 5726981 "Gotham City" 0
"sz" 3016409 "Metropolis" 0
"tb" 386787 "Metropolis" 0
"bq" 3583329 "Bedrock" 0
"ks" 2674532 "Metropolis" 0
"gy" 9740237 "Metropolis" 0
"qy" 9511434 "Zion" 0
"dq" 6160606 "Bedrock" 0
"jt" 9648370 "Winterfell" 0
"hw" 8780345 "Winterfell" 0
"sb" 1199900 "Zion" 1
"hv" 5962579 "Bedrock" 0
"mw" 3569202 "Zion" 0
"ml" 6748865 "Winterfell" 0
"tl" 6381902 "Bedrock" 0
"ua" 6968670 "Winterfell" 0
"qs" 6251960 "Bedrock" 1
"yp" 1222221 "Winterfell" 0
"ps" 2809718 "Bedrock" 0
"xs" 1741882 "Winterfell" 1
"mo" 1702244 "Metropolis" 0
"wb" 5605436 "Metropolis" 0
"da" 4288006 "Winterfell" 0
"kx" 3891868 "Zion" 0
"gc" 8437064 "Gotham City" 0
"jw" 2087907 "Zion" 0
"af" 5094248 "Bedrock" 1
"ic" 3949653 "Zion" 0
"ma" 2581601 "Gotham City" 1
"wj" 8029614 "Gotham City" 1
"qz" 3069992 "Bedrock" 0
"hx" 781303 "Zion" 1
"cu" 9467787 "Zion" 0
"de" 3786685 "Gotham City" 0
"nq" 3274520 "Bedrock" 0
"wr" 6648269 "Metropolis" 0
"wx" 7773210 "Bedrock" 0
"bt" 4841216 "Metropolis" 1
"gi" 9294516 "Gotham City" 0
"rd" 498878 "Winterfell" 1
"qa" 6713576 "Bedrock" 0
"nb" 8255119 "Winterfell" 1
"bx" 3366140 "Gotham City" 1
"bs" 9315206 "Metropolis" 0
"oy" 4840459 "Gotham City" 0
"bc" 9460470 "Zion" 1
"vo" 3112607 "Bedrock" 0
"es" 5990519 "Metropolis" 0
"fk" 8902234 "Winterfell" 0
"ck" 6073635 "Gotham City" 0
"xz" 4405584 "Bedrock" 1
"pj" 5600596 "Winterfell" 0
"wu" 9394272 "Bedrock" 1
"yi" 8345116 "Bedrock" 0
"dk" 2871900 "Metropolis" 0
"it" 8435601 "Gotham City" 0
"zc" 2587780 "Gotham City" 0
"dy" 3393378 "Winterfell" 0
"cq" 5569071 "Bedrock" 0
"ao" 1878760 "Metropolis" 0
"jg" 5096489 "Winterfell" 0
"ud" 9270733 "Gotham City" 0
"lx" 3069721 "Zion" 0
"eh" 3562869 "Winterfell" 1
"zb" 568937 "Winterfell" 0
"fb" 8847316 "Winterfell" 0
"qq" 5119930 "Gotham City" 0
"vj" 8047119 "Bedrock" 0
"yl" 2368177 "Zion" 0
"ei" 6868353 "Zion" 0
"lm" 8605094 "Zion" 0
"oo" 4501529 "Gotham City" 0
"do" 1703747 "Gotham City" 0
"km" 5086963 "Winterfell" 0
"cp" 8700194 "Zion" 0
"vu" 333066 "Gotham City" 0
"lr" 2581553 "Zion" 0
"jh" 9370863 "Gotham City" 1
"sn" 6150364 "Metropolis" 1
"xv" 9495190 "Winterfell" 0
"oi" 8155945 "Zion" 0
"kw" 493155 "Gotham City" 0
"su" 3019702 "Metropolis" 0
"ls" 5120426 "Winterfell" 0
"bk" 7103606 "Winterfell" 0
"uy" 2846531 "Winterfell" 0
"sq" 4649488 "Zion" 1
"mx" 7293890 "Metropolis" 1
"fz" 1281431 "Gotham City" 1
"ue" 9342953 "Gotham City" 0
"db" 3935495 "Gotham City" 0
"sg" 2491241 "Gotham City" 1
"il" 9473613 "Bedrock" 0
"wh" 8416525 "Metropolis" 0
